"rule_id","parameter_id","test_code","parameter_code","parameter_name","gender","age_min_days","age_max_days","normal_min","normal_max","normal_text","critical_low","critical_high","unit","reference_source","clinical_note"
"1777e472-63b2-415d-a4bc-956af57b2189","faf7d941-f509-4731-8455-716f9f93b363","BIO-0053","BIO-0053","Vitamin D, 25-OH","All","0","43800","30","100","Sufficient: 30 - 100 ng/mL | Insufficient: 20 - 30 ng/mL | Deficient: < 20 ng/mL","","","ng/mL","APPROVED_LIS_CONFIG",""
"f6691aae-8053-4650-b862-10d48f7501f7","cc13bc3d-5685-4f19-a81f-360a05d7ef03","BIO-0058","BIO-0058","Amylase","All","0","43800","28","100","28 - 100 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"47fe2066-2c82-4d0d-ba2e-eaa480fc82bf","efa7384c-6256-4372-9838-5cc62bae6293","BIO-0059","BIO-0059","Lipase","All","0","43800","13","60","","","","","APPROVED_LIS_CONFIG",""
"23ca2560-0b39-495a-85d9-3f06e82ab04b","efa7384c-6256-4372-9838-5cc62bae6293","BIO-0059","BIO-0059","Lipase","All","0","43800","0","1000","","","","","APPROVED_LIS_CONFIG",""
"a0eb1513-3e49-4e7a-a157-736fe4d4cb09","767c370c-e33f-4921-aeb6-7f24f7b25863","BIO-0060","BIO-0060","CK Total","Female","0","43800","26","192","26 - 192 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"31359004-e58d-4596-9646-6038317e8d16","767c370c-e33f-4921-aeb6-7f24f7b25863","BIO-0060","BIO-0060","CK Total","Male","0","43800","39","308","39 - 308 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"fa827600-e62a-4e87-88bb-b3f1fae5b65a","e055666f-2e08-4011-888b-b7d81e6adc5a","BIO-0061","BIO-0061","CK-MB Mass","All","0","43800","","5","< 5.0 ng/mL","","","ng/mL","APPROVED_LIS_CONFIG",""
"09c822c9-439c-4a47-9caf-0e2446443a17","71f1993b-ff66-4088-99fb-043cdcf850ea","BIO-0062","BIO-0062","CK-MB Activity","All","0","43800","","25","<25 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"a681b8ad-7840-4189-a4d0-b1c257df1e28","a2be46bd-b75a-4226-b96d-fe12e0888635","BIO-0063","BIO-0063","Troponin I, High Sensitivity","All","0","43800","","0.1","< 0.1 ng/mL Normal","","","ng/mL","APPROVED_LIS_CONFIG",""
"0ee83d7a-9db1-4693-aae8-4a18eaabdaa7","454db68a-c2c6-43b0-9232-c849d25d20c9","BIO-0065","BIO-0065","Myoglobin","Female","0","43800","","58","<58 ng/mL","","","ng/mL","APPROVED_LIS_CONFIG",""
"27b31ac8-771b-413a-b594-302ce8e8a45f","454db68a-c2c6-43b0-9232-c849d25d20c9","BIO-0065","BIO-0065","Myoglobin","Male","0","43800","","72","<72 ng/mL","","","ng/mL","APPROVED_LIS_CONFIG",""
"9f5fb7ef-52c0-4012-b252-8c8d68493ef1","a7421589-afce-45bf-b96b-db9125e157ff","BIO-0067","BIO-0067","NT-proBNP","All","27394","43800","","1800","<1800 pg/mL (>75 years)","","","pg/mL","APPROVED_LIS_CONFIG",""
"69a7acb6-3595-46a7-afca-14ddd43fab8e","a7421589-afce-45bf-b96b-db9125e157ff","BIO-0067","BIO-0067","NT-proBNP","All","18263","27393","","900","<900 pg/mL (50-75 years)","","","pg/mL","APPROVED_LIS_CONFIG",""
"60dac39a-e7ba-4d05-93c6-c622648eafe7","a7421589-afce-45bf-b96b-db9125e157ff","BIO-0067","BIO-0067","NT-proBNP","All","0","18262","","450","<450 pg/mL (<50 years)","","","pg/mL","APPROVED_LIS_CONFIG",""
"2dd9ccbe-0471-418a-8442-801636f795c5","63ba8694-4c52-4652-9334-e56ca8e9a2c6","BIO-0068","BIO-0068","hs-CRP","All","0","43800","","1","< 1.0 mg/L","","","mg/L","APPROVED_LIS_CONFIG",""
"6dbff122-eed2-428c-aff0-763594492dfd","dcc49f86-4fb0-4bf4-a8bd-0f940cab19ea","BIO-0141","BIO-0141-01","Cystatin C","All","6570","43800","0.61","0.95","0.61 - 0.95","","","mg/L","APPROVED_LIS_CONFIG",""
