"parameter_id","test_id","test_code","parameter_code","parameter_name","value_type","unit","display_order","is_mandatory","is_active","lifecycle_status","formula","options","reference_status"
"0ba4dc5e-c5ff-4e09-8037-06856bdc5809","fc65ccca-3b0c-4a3e-a4c9-0a668d1d0623","COA-0026","COA-0026","Mixing Study APTT","Numeric","Interpretive","1","TRUE","TRUE","Active","","","CONFIGURED"
"c3b49eeb-bc43-4e13-85b4-324989e3bdec","2f56b3ef-884f-45b0-b5e8-971b8ec299fe","COA-0027","COA-0027","Anti-Xa Heparin Assay","Numeric","IU/mL","1","TRUE","TRUE","Active","","","CONFIGURED"
"24a1685b-ba4a-45d5-b9fc-56e286b97e61","129fa0b0-bc4b-427d-93f9-0cbeb2ecfb11","COA-0028","COA-0028","Fibrin Degradation Products","Numeric","µg/mL","1","TRUE","TRUE","Active","","","CONFIGURED"
"59a99d7a-8d98-4ac5-bf88-9176eb30cafc","022b5b51-06b3-479f-980b-c7d3835842f1","COA-0029","COA-0029","Platelet Function Screen","Numeric","sec","1","TRUE","TRUE","Active","","","CONFIGURED"
"f72378d6-a9c9-4e80-ace2-08a3287a58c6","2cf2c029-ff17-4434-8bf4-62a03bbe2e31","COA-0030","COA-0030","Platelet Aggregation Studies","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"c4b2f5ab-e753-4946-842a-bf197178c07c","e0416b01-a558-4a2b-8738-6be683361d75","CYT-0001","CYT-0001","FNAC - Thyroid","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"d838ec86-6978-46b9-9d3b-f26e93f28f03","0f325e75-7561-4a2d-9259-b9376fa8c6a1","CYT-0002","CYT-0002","FNAC - Breast","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"509e497e-6d8c-4f3d-bef3-3231a5b1acaf","5608bcc2-8adf-4402-8963-1c7edf5dc923","CYT-0003","CYT-0003","FNAC - Lymph Node","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"50ce28cd-cf94-49b8-852f-49915d56c211","2eb9bc23-4f38-4d7b-ba19-5491dbddbcf8","CYT-0004","CYT-0004","FNAC - Salivary Gland","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"fbb63ac9-60e3-4b62-a6ca-4107545acbd3","aa2e57c3-da7a-4679-9575-f1f05ae42294","CYT-0005","CYT-0005","FNAC - Soft Tissue","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"c2cd6399-39f0-4b9c-a48e-8a4d20944df6","dfe704b4-3582-4180-9bd2-2bb2f3c73de8","CYT-0006","CYT-0006","FNAC - Other Site","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"2aa612a8-9028-46b9-bc1a-c260f34c60d7","6c300067-603f-4af4-bf94-78a46bf17612","CYT-0007","CYT-0007","Pap Smear - Conventional","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"45b4bc9c-bbf3-4f73-a578-637d4af5374b","fabda3f8-b5b7-4114-a6ff-522ed7e60ae4","CYT-0008","CYT-0008","Pap Smear - Liquid Based Cytology","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"7d1700f8-764c-446b-8b47-bc590c9da552","42b28b1f-1a24-4bc0-813e-d86c2b4d332b","CYT-0009","CYT-0009","Pleural Fluid Cytology","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"d3a6c0e8-80ac-43f7-9382-df51ff9f125e","ed69d7c5-54ce-4caa-aa29-f463de1c600e","CYT-0010","CYT-0010","Ascitic Fluid Cytology","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"d56c43e1-06ea-4df5-94ea-dc8d14deba8b","6fee4123-e22d-4ed4-a4c5-467a2bcddf8b","CYT-0011","CYT-0011","Pericardial Fluid Cytology","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
